Model,DPO4034
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,-1.508e-05
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH2
-8.7928e-04,0.0004
-8.7908e-04,0
-8.7888e-04,0.0008
-8.7868e-04,-0.0004
-8.7848e-04,0.0008
-8.7828e-04,0
-8.7808e-04,0.0004
-8.7788e-04,0
-8.7768e-04,0.0004
-8.7748e-04,0.0004
-8.7728e-04,0
-8.7708e-04,0
-8.7688e-04,0.0008
-8.7668e-04,0.0004
-8.7648e-04,0.0004
-8.7628e-04,0.0008
-8.7608e-04,0
-8.7588e-04,-0.0008
-8.7568e-04,0
-8.7548e-04,0.0004
-8.7528e-04,0.0008
-8.7508e-04,0.0004
-8.7488e-04,-0.0004
-8.7468e-04,0
-8.7448e-04,0
-8.7428e-04,-0.0004
-8.7408e-04,0
-8.7388e-04,0
-8.7368e-04,0.0004
-8.7348e-04,0.0012
-8.7328e-04,0.0008
-8.7308e-04,0.0008
-8.7288e-04,0
-8.7268e-04,0
-8.7248e-04,0
-8.7228e-04,0.0012
-8.7208e-04,0.0004
-8.7188e-04,0.0004
-8.7168e-04,0.0004
-8.7148e-04,-0.0004
-8.7128e-04,0.0008
-8.7108e-04,0.0008
-8.7088e-04,0.0008
-8.7068e-04,0
-8.7048e-04,0.0004
-8.7028e-04,0.0008
-8.7008e-04,0.0004
-8.6988e-04,0.0008
-8.6968e-04,0.0004
-8.6948e-04,0.0004
-8.6928e-04,0.0004
-8.6908e-04,0.0004
-8.6888e-04,0.0008
-8.6868e-04,0.0008
-8.6848e-04,0.0004
-8.6828e-04,0.0004
-8.6808e-04,0
-8.6788e-04,0
-8.6768e-04,0.0008
-8.6748e-04,0.0008
-8.6728e-04,0.0008
-8.6708e-04,0.0008
-8.6688e-04,0.0008
-8.6668e-04,0.0004
-8.6648e-04,-0.0008
-8.6628e-04,0.0012
-8.6608e-04,0
-8.6588e-04,0.0016
-8.6568e-04,-0.0012
-8.6548e-04,-0.0004
-8.6528e-04,0.0008
-8.6508e-04,0.0008
-8.6488e-04,0.0016
-8.6468e-04,0
-8.6448e-04,-0.0004
-8.6428e-04,-0.0004
-8.6408e-04,0.0004
-8.6388e-04,-0.0004
-8.6368e-04,0
-8.6348e-04,0.0008
-8.6328e-04,0
-8.6308e-04,0
-8.6288e-04,0.0004
-8.6268e-04,0
-8.6248e-04,0.0008
-8.6228e-04,0.0008
-8.6208e-04,0.0008
-8.6188e-04,0.0004
-8.6168e-04,0
-8.6148e-04,0
-8.6128e-04,0.0004
-8.6108e-04,0.0008
-8.6088e-04,0.0004
-8.6068e-04,0
-8.6048e-04,0.0008
-8.6028e-04,0.0012
-8.6008e-04,0.0008
-8.5988e-04,-0.0004
-8.5968e-04,0.0004
-8.5948e-04,0
-8.5928e-04,0.0008
-8.5908e-04,-0.0004
-8.5888e-04,0.0004
-8.5868e-04,0
-8.5848e-04,0
-8.5828e-04,0
-8.5808e-04,0.0008
-8.5788e-04,0.0012
-8.5768e-04,-0.0004
-8.5748e-04,0.0004
-8.5728e-04,-0.0008
-8.5708e-04,0.0004
-8.5688e-04,-0.0004
-8.5668e-04,0.0004
-8.5648e-04,-0.0004
-8.5628e-04,0.0012
-8.5608e-04,0.0004
-8.5588e-04,0
-8.5568e-04,0.0012
