Model,DPO4034
Firmware Version,2.68
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2.00E-05
Horizontal Delay,-2.70E-06
Sample Interval,2.00E-08
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,0.04
,
,
,
Label,A
TIME,CH1
-9.49E-05,0.22
-9.49E-05,0.236
-9.49E-05,0.244
-9.49E-05,0.236
-9.49E-05,0.224
-9.48E-05,0.232
-9.48E-05,0.232
-9.48E-05,0.232
-9.48E-05,0.236
-9.48E-05,0.236
-9.47E-05,0.232
-9.47E-05,0.232
-9.47E-05,0.24
-9.47E-05,0.232
-9.47E-05,0.236
-9.46E-05,0.232
-9.46E-05,0.232
-9.46E-05,0.232
-9.46E-05,0.24
-9.46E-05,0.232
-9.45E-05,0.224
-9.45E-05,0.232
-9.45E-05,0.228
-9.45E-05,0.236
-9.45E-05,0.236
-9.44E-05,0.236
-9.44E-05,0.228
-9.44E-05,0.236
-9.44E-05,0.232
-9.44E-05,0.224
-9.43E-05,0.228
-9.43E-05,0.236
-9.43E-05,0.232
-9.43E-05,0.232
-9.43E-05,0.228
-9.42E-05,0.236
-9.42E-05,0.232
-9.42E-05,0.236
-9.42E-05,0.228
-9.42E-05,0.236
-9.41E-05,0.236
-9.41E-05,0.232
-9.41E-05,0.236
-9.41E-05,0.236
-9.41E-05,0.232
-9.40E-05,0.228
-9.40E-05,0.232
-9.40E-05,0.236
-9.40E-05,0.232
-9.40E-05,0.232
-9.39E-05,0.24
-9.39E-05,0.224
-9.39E-05,0.236
-9.39E-05,0.24
-9.39E-05,0.232
-9.38E-05,0.224
-9.38E-05,0.24
-9.38E-05,0.24
-9.38E-05,0.232
-9.38E-05,0.232
-9.37E-05,0.236
-9.37E-05,0.232
-9.37E-05,0.236
-9.37E-05,0.236
-9.37E-05,0.232
-9.36E-05,0.232
-9.36E-05,0.22
-9.36E-05,0.24
-9.36E-05,0.236
-9.36E-05,0.244
-9.35E-05,0.24
-9.35E-05,0.232
-9.35E-05,0.232
-9.35E-05,0.236
-9.35E-05,0.236
-9.34E-05,0.236
-9.34E-05,0.24
-9.34E-05,0.244
-9.34E-05,0.244
-9.34E-05,0.236
-9.33E-05,0.24
-9.33E-05,0.236
-9.33E-05,0.228
-9.33E-05,0.24
-9.33E-05,0.236
-9.32E-05,0.236
-9.32E-05,0.236
-9.32E-05,0.232
-9.32E-05,0.24
-9.32E-05,0.24
-9.31E-05,0.232
-9.31E-05,0.232
-9.31E-05,0.24
-9.31E-05,0.232
-9.31E-05,0.24
-9.30E-05,0.232
-9.30E-05,0.248
-9.30E-05,0.24
-9.30E-05,0.236
-9.30E-05,0.236
-9.29E-05,0.24
-9.29E-05,0.24
-9.29E-05,0.236
-9.29E-05,0.244
-9.29E-05,0.24
-9.28E-05,0.24
-9.28E-05,0.236
-9.28E-05,0.236
-9.28E-05,0.244
-9.28E-05,0.224
-9.27E-05,0.24
-9.27E-05,0.236
-9.27E-05,0.236
-9.27E-05,0.224
-9.27E-05,0.24
-9.26E-05,0.24
-9.26E-05,0.244
-9.26E-05,0.248
-9.26E-05,0.244
-9.26E-05,0.248
-9.25E-05,0.24
-9.25E-05,0.244
-9.25E-05,0.244
-9.25E-05,0.244
-9.25E-05,0.236
-9.24E-05,0.236
-9.24E-05,0.244
-9.24E-05,0.24
-9.24E-05,0.232
-9.24E-05,0.244
-9.23E-05,0.244
-9.23E-05,0.248
-9.23E-05,0.244
-9.23E-05,0.232
-9.23E-05,0.248
-9.22E-05,0.236
-9.22E-05,0.236
-9.22E-05,0.236
-9.22E-05,0.232
-9.22E-05,0.236
-9.21E-05,0.236
-9.21E-05,0.236
-9.21E-05,0.236
-9.21E-05,0.24
-9.21E-05,0.236
-9.20E-05,0.232
-9.20E-05,0.24
-9.20E-05,0.24
-9.20E-05,0.24
-9.20E-05,0.248
-9.19E-05,0.232
-9.19E-05,0.236
-9.19E-05,0.24
-9.19E-05,0.24
-9.19E-05,0.232
-9.18E-05,0.24
-9.18E-05,0.248
-9.18E-05,0.24
-9.18E-05,0.24
-9.18E-05,0.236
-9.17E-05,0.24
-9.17E-05,0.244
-9.17E-05,0.244
-9.17E-05,0.244
-9.17E-05,0.244
-9.16E-05,0.232
-9.16E-05,0.232
-9.16E-05,0.236
-9.16E-05,0.236
-9.16E-05,0.244
-9.15E-05,0.236
-9.15E-05,0.236
-9.15E-05,0.24
-9.15E-05,0.236
-9.15E-05,0.236
-9.14E-05,0.236
-9.14E-05,0.24
-9.14E-05,0.236
-9.14E-05,0.228
-9.14E-05,0.244
-9.13E-05,0.232
-9.13E-05,0.24
-9.13E-05,0.24
-9.13E-05,0.236
-9.13E-05,0.236
-9.12E-05,0.244
-9.12E-05,0.24
-9.12E-05,0.236
-9.12E-05,0.228
-9.12E-05,0.232
-9.11E-05,0.232
-9.11E-05,0.24
-9.11E-05,0.228
-9.11E-05,0.232
-9.11E-05,0.236
-9.10E-05,0.24
-9.10E-05,0.24
-9.10E-05,0.236
-9.10E-05,0.24
-9.10E-05,0.24
-9.09E-05,0.236
-9.09E-05,0.24
-9.09E-05,0.244
-9.09E-05,0.236
-9.09E-05,0.24
-9.08E-05,0.24
-9.08E-05,0.24
-9.08E-05,0.232
-9.08E-05,0.236
-9.08E-05,0.24
-9.07E-05,0.236
-9.07E-05,0.24
-9.07E-05,0.236
-9.07E-05,0.236
-9.07E-05,0.244
-9.06E-05,0.236
-9.06E-05,0.228
-9.06E-05,0.244
-9.06E-05,0.244
-9.06E-05,0.24
-9.05E-05,0.244
-9.05E-05,0.24
-9.05E-05,0.24
-9.05E-05,0.232
-9.05E-05,0.244
-9.04E-05,0.244
-9.04E-05,0.24
-9.04E-05,0.236
-9.04E-05,0.244
-9.04E-05,0.24
-9.03E-05,0.232
-9.03E-05,0.24
-9.03E-05,0.236
-9.03E-05,0.244
-9.03E-05,0.236
-9.02E-05,0.236
-9.02E-05,0.24
-9.02E-05,0.236
-9.02E-05,0.236
-9.02E-05,0.236
-9.01E-05,0.244
-9.01E-05,0.236
-9.01E-05,0.232
-9.01E-05,0.244
-9.01E-05,0.248
-9.00E-05,0.24
-9.00E-05,0.244
-9.00E-05,0.244
-9.00E-05,0.24
-9.00E-05,0.24
-8.99E-05,0.232
-8.99E-05,0.244
-8.99E-05,0.236
-8.99E-05,0.228
-8.99E-05,0.232
-8.98E-05,0.244
-8.98E-05,0.236
-8.98E-05,0.232
-8.98E-05,0.248
-8.98E-05,0.24
-8.97E-05,0.228
-8.97E-05,0.236
-8.97E-05,0.24
-8.97E-05,0.236
-8.97E-05,0.236
-8.96E-05,0.244
-8.96E-05,0.236
-8.96E-05,0.236
-8.96E-05,0.232
-8.96E-05,0.232
-8.95E-05,0.244
-8.95E-05,0.24
-8.95E-05,0.24
-8.95E-05,0.24
-8.95E-05,0.236
-8.94E-05,0.244
-8.94E-05,0.248
-8.94E-05,0.24
-8.94E-05,0.244
-8.94E-05,0.236
-8.93E-05,0.24
-8.93E-05,0.24
-8.93E-05,0.232
-8.93E-05,0.236
-8.93E-05,0.24
-8.92E-05,0.244
-8.92E-05,0.24
-8.92E-05,0.244
-8.92E-05,0.24
-8.92E-05,0.236
-8.91E-05,0.244
-8.91E-05,0.248
-8.91E-05,0.236
-8.91E-05,0.236
-8.91E-05,0.244
-8.90E-05,0.236
-8.90E-05,0.248
-8.90E-05,0.232
-8.90E-05,0.244
-8.90E-05,0.244
-8.89E-05,0.244
-8.89E-05,0.244
-8.89E-05,0.24
-8.89E-05,0.232
-8.89E-05,0.236
-8.88E-05,0.248
-8.88E-05,0.244
-8.88E-05,0.244
-8.88E-05,0.248
-8.88E-05,0.244
-8.87E-05,0.24
-8.87E-05,0.248
-8.87E-05,0.244
-8.87E-05,0.244
-8.87E-05,0.244
-8.86E-05,0.232
-8.86E-05,0.244
-8.86E-05,0.236
-8.86E-05,0.244
-8.86E-05,0.248
-8.85E-05,0.244
-8.85E-05,0.24
-8.85E-05,0.236
-8.85E-05,0.24
-8.85E-05,0.236
-8.84E-05,0.24
-8.84E-05,0.24
-8.84E-05,0.232
-8.84E-05,0.248
-8.84E-05,0.248
-8.83E-05,0.236
-8.83E-05,0.24
-8.83E-05,0.236
-8.83E-05,0.24
-8.83E-05,0.244
-8.82E-05,0.244
-8.82E-05,0.236
-8.82E-05,0.24
-8.82E-05,0.24
-8.82E-05,0.24
-8.81E-05,0.248
